classifier,train_data,f1_real,f1_synth
Random Forest,real,0.896774193548387,0.6534765461260031
Random Forest,synth,0.2986367357084389,0.9578528864856638
Random Forest,mixed,0.9453692409174518,0.9499797881801276
Logistic Regression,real,0.8519924997593138,0.6680332986472426
Logistic Regression,synth,0.32791396721015487,0.9154246524112201
Logistic Regression,mixed,0.7278228567137677,0.7790167079472744
MLP Classifier,real,0.8012702657529668,0.623505470571075
MLP Classifier,synth,0.3293394777265745,0.9185829778961934
MLP Classifier,mixed,0.7687733702301861,0.8015327079405069
