classifier,train_data,f1_real,f1_synth
LogisticRegression,real,0.7087454661085795,0.33941421950041956
LogisticRegression,synth,0.7087454661085795,0.33941421950041956
LogisticRegression,mixed,0.7087454661085795,0.5208856013297631
RandomForestClassifier,real,0.9872601611703465,0.3062325530086064
RandomForestClassifier,synth,0.9896242226966643,0.3030991691813674
RandomForestClassifier,mixed,0.9896192216110158,0.6518402709707075
MLPClassifier,real,0.8970195615434343,0.3026399417680563
MLPClassifier,synth,0.9008131305764661,0.3118467296988031
MLPClassifier,mixed,0.8986780519143737,0.6052048855703904
