,Epoch,Generator Loss,Discriminator Loss
207,208,-1.3822,0.072
208,209,-1.9272,-0.2263
209,210,-1.5681,0.1336
210,211,-1.7368,-0.9641
211,212,-0.9643,0.2504
212,213,-1.6191,-0.5831
213,214,-1.669,-0.4444
214,215,-0.8844,-0.1852
215,216,-0.4951,0.0766
216,217,-0.955,0.9891
217,218,-1.0665,0.1938
218,219,-1.8083,0.1758
219,220,-1.4555,0.4655
220,221,-1.2813,-0.504
221,222,-1.3524,-0.3527
222,223,-1.0068,-0.8076
223,224,-1.4375,-0.7619
224,225,-1.2024,0.2032
225,226,-0.8447,-0.6524
226,227,-0.6955,-0.2786
227,228,-1.272,-0.7823
228,229,-1.2494,-0.2634
229,230,-0.8216,-0.3795
230,231,-0.8583,-0.0971
231,232,-1.5362,-0.2971
232,233,-0.366,-0.5251
233,234,-0.998,0.1246
234,235,-0.8199,0.0132
235,236,-1.2131,-0.755
236,237,-0.4161,-0.1359
237,238,-1.296,0.1866
238,239,-0.9069,0.0072
239,240,-0.5811,-0.5606
240,241,-0.9101,-0.7235
241,242,-0.9173,-0.3479
242,243,-1.0891,0.2586
243,244,-0.662,-0.1346
244,245,-0.3928,-0.1749
245,246,-0.7989,-0.2523
246,247,-0.8879,-0.0307
247,248,-0.7085,0.118
248,249,-0.8263,0.5982
249,250,-0.6925,-1.2898
250,251,-1.2046,-0.1278
251,252,-0.8946,0.3801
252,253,-0.071,-0.7912
253,254,-1.2431,0.5879
254,255,-0.5784,0.0205
255,256,-1.4285,0.1825
256,257,-0.6869,-1.3725
257,258,-1.5105,-0.3808
258,259,-1.0853,-0.8685
259,260,-1.0692,0.3454
260,261,-1.0815,-0.471
261,262,-0.5627,-0.401
262,263,-0.5073,-0.5205
263,264,-0.8819,0.7807
264,265,-0.9668,-0.6475
265,266,-0.4727,-0.0999
266,267,-0.2726,0.4968
267,268,-0.7928,-0.7181
268,269,-0.8595,0.4868
269,270,-0.2992,-1.4258
270,271,-1.7019,-0.6994
271,272,-0.64,-0.5898
272,273,-0.729,-0.1347
273,274,-0.5225,0.1802
274,275,-0.727,0.6818
275,276,-0.4567,-0.7742
276,277,-1.0911,0.1771
277,278,-1.3426,-0.128
278,279,-0.8089,-0.3042
279,280,-1.1632,0.0626
280,281,-1.2151,-0.4946
281,282,-0.7381,0.3191
282,283,-1.2026,-0.3504
283,284,-0.7122,0.1159
284,285,-0.3493,-0.0548
285,286,-0.6657,-0.3657
286,287,-0.4208,-0.446
287,288,-1.1892,-0.1468
288,289,-1.4628,0.6083
289,290,-1.1339,0.5364
290,291,-0.8845,0.3912
291,292,-1.0635,-0.711
292,293,-1.257,0.2803
293,294,-1.0368,-0.0698
294,295,-1.3934,-0.2916
295,296,-0.8403,-0.7248
296,297,-1.2153,-0.2263
297,298,-0.7933,0.5526
298,299,-1.6089,0.6386
299,300,-1.2272,-0.3324
300,301,-1.382,-0.6224
301,302,-1.5151,-0.3367
302,303,-1.5185,0.1191
303,304,-0.4487,0.3281
304,305,-0.8804,-0.1451
305,306,-1.0498,-0.0675
306,307,-1.3821,0.1066
307,308,-1.0622,0.737
308,309,-1.5123,-0.0123
309,310,-0.7244,-1.3146
310,311,-0.7518,0.5342
311,312,-1.2555,-0.0378
312,313,-0.904,0.3894
313,314,-0.8726,0.0577
314,315,-0.5757,-0.4505
315,316,-0.5567,-0.2473
316,317,-0.6475,0.2526
317,318,-0.2634,-0.5217
318,319,-0.2479,-0.8799
319,320,-0.5348,-0.0413
320,321,-1.2939,-0.7583
321,322,-1.5887,0.2362
322,323,-0.6984,-0.1948
323,324,-1.0535,-1.3668
324,325,-1.0005,-0.8982
325,326,-0.0521,0.3739
326,327,-1.1061,-0.3039
327,328,-1.4537,-0.2526
328,329,-1.0253,0.5003
329,330,-1.2674,0.4356
330,331,-0.6127,-1.1713
331,332,-1.3614,-1.9357
332,333,-0.8498,-1.492
333,334,-1.1214,-0.6398
334,335,-0.3074,-0.2845
335,336,-0.8369,-1.0446
336,337,-0.6634,-0.1598
337,338,-1.4419,0.0354
338,339,-1.1654,-0.254
339,340,-1.8871,0.1399
340,341,-0.9332,0.7372
341,342,-1.0734,-0.2569
342,343,-2.4067,0.7114
343,344,-1.1444,0.2041
344,345,-0.4262,0.0659
345,346,-1.1458,-0.4057
346,347,-0.1492,-0.4922
347,348,-0.6929,-0.1845
348,349,-0.9855,-0.0411
349,350,-1.3191,-0.3364
