,Epoch,Generator Loss,Discriminator Loss
212,213,-1.1619,0.1954
213,214,-0.5143,0.9278
214,215,-0.9481,0.2364
215,216,0.2749,0.3477
216,217,1.1419,0.2063
217,218,0.3421,0.2611
218,219,0.4171,0.002
219,220,0.5804,0.4999
220,221,-1.534,-0.264
221,222,-0.5614,0.1876
222,223,0.7178,-1.1555
223,224,0.7264,0.3422
224,225,-0.4468,-0.1609
225,226,1.0456,-1.4504
226,227,-0.5223,0.6378
227,228,-0.1842,-0.9092
228,229,-0.3416,1.0479
229,230,-0.117,-0.342
230,231,0.2164,0.0138
231,232,1.5243,0.2175
232,233,-1.0309,-0.5757
233,234,0.0908,-0.9016
234,235,-0.8921,0.3711
235,236,-0.1549,-1.454
236,237,-1.3828,0.6917
237,238,-0.9199,0.3696
238,239,-0.1427,1.0216
239,240,1.0486,0.3674
240,241,0.269,0.1648
241,242,-1.0237,0.5064
242,243,0.6838,-0.1732
243,244,0.3096,-1.059
244,245,0.1324,-0.3375
245,246,-0.2484,-0.7929
246,247,0.7159,-0.4676
247,248,0.6263,-0.0637
248,249,0.0272,-0.1789
249,250,-0.3417,0.7232
250,251,0.4833,-0.5453
251,252,1.132,-0.5724
252,253,0.0277,0.0157
253,254,0.2179,0.3201
254,255,-0.0384,0.5754
255,256,0.9026,-1.0103
256,257,0.1429,-0.9702
257,258,0.1368,-0.2851
258,259,-0.4883,0.4329
259,260,-1.273,-0.1612
260,261,-0.6642,0.3492
261,262,1.0166,-0.054
262,263,-0.3119,-0.0823
263,264,-1.1358,0.0069
264,265,-0.2927,1.3667
265,266,-0.2093,-0.9317
266,267,0.3704,-1.5526
267,268,-0.0705,-0.5893
268,269,0.2937,0.0511
269,270,0.7807,0.8272
270,271,-0.6409,1.2223
271,272,0.9541,-0.2191
272,273,0.7628,-0.236
273,274,-0.3019,0.0353
274,275,-0.6211,0.5894
275,276,0.3446,0.082
276,277,0.4093,0.6018
277,278,0.3965,0.2346
278,279,0.6097,0.4002
279,280,0.1802,0.9262
280,281,-0.1226,-1.2089
281,282,0.0067,-0.1232
282,283,1.6166,-0.4696
283,284,0.0672,-0.0507
284,285,-1.1358,-0.198
285,286,-0.1721,-1.0164
286,287,0.2178,-0.5909
287,288,-0.2276,-1.037
288,289,-0.2245,-0.1095
289,290,-0.2016,0.2816
290,291,-0.0487,-0.2486
291,292,-0.4553,0.6968
292,293,0.3915,0.8426
293,294,0.1832,-0.6492
294,295,0.4518,-0.6146
295,296,0.4276,0.357
296,297,1.0742,0.2527
297,298,-0.4293,0.2879
298,299,0.3196,-0.0956
299,300,0.1895,-0.2295
