Epoch,Generator Loss,Discriminator Loss
239,-1.8265,-0.0823
240,-2.0293,0.3455
241,-2.0585,-0.2628
242,-2.2817,0.5258
243,-2.0753,-0.4654
244,-2.1858,0.1609
245,-1.9636,-0.6513
246,-2.2144,-0.1508
247,-1.7879,-0.2337
248,-1.6638,-0.4338
249,-1.6592,-0.3351
250,-1.8118,0.381
251,-2.0624,-0.0028
252,-1.686,0.3463
253,-1.9341,-0.1222
254,-1.7662,0.0625
255,-1.8418,-0.4583
256,-1.897,-0.3944
257,-1.6262,-0.1346
258,-2.0567,-0.5162
259,-2.1472,0.1148
260,-2.0449,-0.3463
261,-2.1788,-0.0692
262,-2.1218,0.2576
263,-2.2591,0.3389
264,-2.4615,-0.3153
265,-2.1085,-0.225
266,-1.789,-0.6754
267,-1.9485,-0.9299
268,-1.5823,-0.3947
269,-2.038,-0.6017
270,-2.0422,0.3777
271,-2.5404,0.2541
272,-2.1167,0.2084
273,-2.0775,0.3514
274,-2.0812,-0.0852
275,-1.546,-0.5023
276,-1.6125,-0.5842
277,-1.438,-0.7381
278,-2.0377,-0.5135
279,-1.736,-0.1139
280,-1.9029,-0.1373
281,-2.1428,0.2397
282,-1.8049,-0.1006
283,-1.7173,-0.0493
284,-1.8919,-0.5219
285,-1.7182,-0.3161
286,-1.6172,-0.1789
287,-1.4267,-0.1178
288,-1.7898,-0.43
289,-1.9135,0.0532
290,-1.9305,-0.0416
291,-1.8113,-0.328
292,-1.7233,-0.0381
293,-1.5968,-0.0541
294,-1.7155,-0.3819
295,-1.828,-0.14
296,-1.9498,-0.4991
297,-1.7258,-0.731
298,-1.7181,-0.8497
299,-1.4712,-0.6697
300,-1.4452,-0.0025
301,-1.4825,-0.4811
302,-1.4367,-0.9273
303,-1.4218,0.0286
304,-0.967,-0.1837
305,-1.5085,-0.3185
306,-1.7454,-0.1745
307,-1.7132,-0.1994
308,-1.3587,-0.0103
309,-1.7364,0.0037
310,-1.909,0.2723
311,-1.9421,-0.0908
312,-1.99,0.2472
313,-1.5828,-0.328
314,-2.077,-0.1171
315,-1.7856,-0.8445
316,-1.8771,0.1767
317,-1.5338,-0.5677
318,-1.2466,-0.4196
319,-1.4867,-0.1671
320,-1.9919,-0.2284
321,-1.9996,-0.3279
322,-1.7443,-0.9935
323,-1.657,-0.8336
324,-1.8101,-0.2712
325,-1.5835,-0.0524
326,-1.836,-0.3191
327,-1.813,-0.7395
328,-1.6375,-0.3849
329,-1.4413,-0.6265
330,-1.4685,-0.6434
331,-1.8952,-0.3075
332,-1.993,-0.5516
333,-1.7566,0.1305
334,-1.1693,0.5115
335,-1.791,-0.1821
336,-1.663,-0.1116
337,-1.7737,-0.4328
338,-1.2848,-0.2677
339,-1.581,-0.3668
340,-1.4489,-0.3806
341,-1.203,0.0498
342,-1.8674,-0.0155
343,-1.8278,-0.0789
344,-1.3199,-0.1321
345,-1.6872,0.0803
346,-1.5727,-0.1641
347,-1.1985,-0.0916
348,-1.2503,-0.8517
349,-1.6656,-0.9383
350,-1.7695,0.1104
351,-1.3077,-0.6443
352,-1.7427,-0.2159
353,-1.1283,-0.5542
354,-1.3743,0.2202
355,-1.3284,0.0539
356,-1.2611,0.0867
357,-1.1313,0.1391
358,-1.5932,-0.4074
359,-1.4674,-0.4208
360,-1.717,0.2384
361,-1.4133,-0.1422
362,-1.237,-0.269
363,-0.9477,-0.4162
364,-1.3457,0.0947
365,-1.4477,-0.4799
366,-1.4139,-0.2773
367,-1.6826,-0.7227
368,-1.9774,-0.2432
369,-1.6822,0.167
370,-2.0578,-0.2732
371,-1.3149,0.1196
372,-1.2099,-0.3206
373,-1.4384,-0.8089
374,-1.5624,-0.6074
375,-1.2147,-0.3341
376,-1.0968,-0.006
377,-1.5583,0.0072
378,-1.2416,-0.3293
379,-1.4906,0.3393
380,-1.1214,-0.345
381,-1.2462,-0.1228
382,-1.1799,-0.2473
383,-1.35,-0.3664
384,-1.4532,-0.2632
385,-1.3964,-0.4801
386,-1.5523,-0.387
387,-0.9649,-0.1851
388,-1.5211,0.2194
389,-1.6835,-0.2637
390,-1.895,0.2562
391,-1.9133,-0.0781
392,-1.6746,0.2927
393,-1.4868,0.1673
394,-1.3086,-0.4458
395,-1.3194,-0.5755
396,-1.3693,-0.8835
397,-1.7244,-0.1036
398,-1.7421,-0.365
399,-1.7993,0.1871
400,-1.551,0.095
401,-1.1331,-0.1909
402,-1.4518,0.2174
403,-1.4245,-0.1136
404,-1.7492,-0.9207
405,-0.8734,-0.7349
406,-1.0508,-0.5337
407,-1.3539,0.3834
408,-1.3555,-0.4122
409,-1.6144,0.4424
410,-1.4052,0.1977
411,-1.6036,0.3577
412,-1.5168,-0.4325
413,-1.4942,-0.715
414,-1.6222,-0.3111
415,-1.8895,0.0991
416,-1.9396,-0.3645
417,-1.5265,0.2996
418,-1.5266,0.3587
419,-1.4333,-0.0801
420,-1.9362,0.6141
421,-0.8766,0.0566
422,-0.8023,-0.0993
423,-1.6141,-0.4769
424,-0.9451,-0.058
425,-0.9782,-0.8037
426,-1.7851,0.2164
427,-1.3348,0.2951
428,-1.2114,-0.6696
429,-1.5665,-0.0435
430,-1.4635,-0.3482
431,-1.4266,-0.3268
432,-1.5761,0.1962
433,-2.0364,-0.0001
434,-1.5287,-0.0126
435,-1.5368,-0.023
436,-1.0181,0.3736
437,-1.7408,-0.1517
438,-1.6699,-0.1933
439,-2.0539,-0.315
440,-1.3179,0.4787
441,-1.7231,0.049
442,-1.5957,0.7233
443,-1.4022,-0.0805
444,-1.4846,-0.9417
445,-1.8368,0.0049
446,-0.8368,0.4341
447,-1.0319,-0.0556
448,-1.7953,-0.1868
449,-0.9813,-0.2695
450,-1.8126,0.3878
451,-1.2413,-0.3422
452,-1.3579,-0.0081
453,-1.6172,0.0106
454,-1.6298,-0.2591
455,-1.2267,-0.5842
456,-1.3099,-0.2165
457,-1.0883,0.706
458,-1.0102,-0.2473
459,-1.5079,-0.3647
460,-0.8799,0.2205
461,-1.3824,-0.2082
462,-1.0052,-0.0292
463,-1.4807,0.0711
464,-1.1121,-0.0533
465,-1.6011,0.0841
466,-0.9022,-0.6221
467,-1.1407,-0.3154
468,-1.0976,-0.6104
469,-1.0857,0.4713
470,-1.2955,-0.7001
471,-0.9697,0.7228
472,-1.1729,0.3705
473,-0.7147,-0.3183
474,-1.0662,-0.0125
475,-0.9697,0.1681
476,-0.9135,0.5328
477,-1.026,-0.877
478,-1.2103,-0.6358
479,-1.0778,0.064
480,-0.7342,0.0492
481,-1.0656,0.6427
482,-1.5945,-0.0067
483,-1.5049,-0.3246
484,-1.3976,-0.7023
485,-1.0887,-0.1011
486,-0.7538,-0.41
487,-0.975,-0.3807
488,-0.2885,-0.8063
489,-1.2671,0.105
490,-1.4502,0.0518
491,-1.5052,0.1727
492,-0.3293,0.4684
493,-1.1168,-0.4579
494,-0.8278,0.0841
