Epoch,Generator Loss,Discriminator Loss
1,0.6688,-0.4863
2,-0.4047,-0.0811
3,-0.4131,0.2952
4,-0.1338,0.0239
5,-0.1822,-0.2409
6,-0.4822,-0.1392
7,-0.6743,0.0947
8,-0.9019,0.002
9,-0.7239,-0.145
10,-0.3464,0.1511
11,-1.1741,0.0512
12,-0.8794,-0.2713
13,-0.6803,-0.2096
14,-1.1542,0.2293
15,-0.6171,0.2239
16,-0.8621,-0.023
17,-1.2245,0.0553
18,-1.1164,-0.0492
19,-0.6736,-0.0391
20,-1.1078,-0.074
21,-0.9971,-0.3021
22,-0.9573,-0.0098
23,-1.4181,0.0713
24,-1.5179,-0.1609
25,-1.7051,0.4307
26,-1.8387,-0.5166
27,-1.9493,-0.1658
28,-1.9296,-0.3355
29,-1.4638,-0.2172
30,-2.237,0.0159
31,-1.84,0.0453
32,-1.6379,-0.0322
33,-2.2042,-0.0832
34,-1.711,-0.0581
35,-2.0699,-0.2299
36,-1.7023,0.2606
37,-2.0218,0.2548
38,-2.2909,0.1482
39,-1.9608,-0.244
40,-2.1018,0.1559
41,-1.959,0.1662
42,-1.985,-0.0419
43,-2.0176,0.0809
44,-1.4903,-0.1827
45,-1.7923,0.0734
46,-1.8965,0.0765
47,-1.7265,-0.3335
48,-1.696,-0.1478
49,-1.7151,-0.3962
50,-1.7983,-0.1555
51,-1.8779,0.2383
52,-2.0625,-0.2239
53,-2.3184,-0.0657
54,-2.384,0.0988
55,-2.6592,0.1603
56,-2.3791,-0.2866
57,-2.196,-0.2133
58,-1.9048,0.1953
59,-1.8124,0.0626
60,-2.071,0.0646
61,-2.4623,-0.1495
62,-2.6591,-0.5333
63,-2.4758,0.0272
64,-2.1798,-0.3416
65,-2.4427,-0.1322
66,-2.4584,-0.1365
67,-2.5702,0.0044
68,-2.3117,-0.2572
69,-2.2754,0.0633
70,-2.1146,-0.4034
71,-2.0393,-0.0435
72,-2.3046,-0.1027
73,-2.3859,-0.1135
74,-2.17,-0.1606
75,-2.8192,0.4057
76,-2.7406,-0.0152
77,-2.7721,-0.4127
78,-2.6064,-0.0037
79,-2.4856,0.2592
80,-2.3027,-0.0807
81,-2.8449,-0.2098
82,-3.04,0.0819
83,-2.4885,-0.2167
84,-2.6022,0.0033
85,-2.8247,0.504
86,-2.5563,0.2834
87,-2.8942,-0.1218
88,-2.8058,0.1287
89,-2.4307,0.018
90,-2.3021,-0.4708
91,-2.3761,-0.0511
92,-2.3965,0.3288
93,-2.6604,0.4402
94,-2.6191,0.1282
95,-2.4525,-0.0001
96,-2.3773,-0.045
97,-2.5515,-0.1875
98,-2.543,-0.2585
99,-2.4285,0.2555
100,-2.7049,-0.4161
101,-2.999,-0.035
102,-2.576,0.037
103,-2.0391,0.1537
104,-2.0323,-0.2386
105,-2.5314,0.2896
106,-2.4372,0.5743
107,-2.3048,0.3327
108,-2.667,-0.0937
109,-2.3649,-0.2788
110,-1.9342,-0.3116
111,-1.9049,-0.0816
112,-2.1539,-0.385
