,Epoch,Generator Loss,Discriminator Loss
207,208,-1.7809,-0.4202
208,209,-1.8707,-0.0784
209,210,-1.8733,-0.372
210,211,-1.7128,0.2568
211,212,-1.782,-0.5971
212,213,-2.0077,-0.0291
213,214,-1.9529,0.1173
214,215,-1.8975,0.0259
215,216,-1.5247,-0.3332
216,217,-1.9737,-0.2566
217,218,-2.0824,0.0156
218,219,-1.8477,0.0812
219,220,-1.6776,-0.1164
220,221,-1.5037,0.0298
221,222,-1.6324,0.061
222,223,-2.0922,-0.1357
223,224,-1.6633,0.1157
224,225,-1.8198,0.0104
225,226,-2.0241,-0.4994
226,227,-1.809,-0.4633
227,228,-1.9467,0.0396
228,229,-1.6866,-0.2213
229,230,-1.8199,0.2933
230,231,-1.9184,-0.5746
231,232,-1.7432,-0.4373
232,233,-1.7723,0.0064
233,234,-1.6731,-0.6112
234,235,-1.7944,-0.7196
235,236,-1.7917,-0.1954
236,237,-1.9932,-0.1548
237,238,-1.8474,-0.7008
238,239,-1.5474,-0.0425
239,240,-1.68,-0.0245
240,241,-1.4858,-0.6344
241,242,-1.6946,0.2011
242,243,-1.9115,0.1047
243,244,-1.8384,-0.0497
244,245,-1.9627,-0.0925
245,246,-1.7645,0.7122
246,247,-2.05,-0.1616
247,248,-1.942,-0.4122
248,249,-1.921,0.0149
249,250,-1.8314,-0.1209
250,251,-1.8753,-0.3753
251,252,-1.5796,-0.0218
252,253,-1.7492,-0.2671
253,254,-1.7259,-0.343
254,255,-1.5698,-0.1214
255,256,-1.7889,-0.6077
256,257,-1.7229,-0.3341
257,258,-2.0053,-0.7571
258,259,-1.6504,-0.7267
259,260,-1.3194,-0.1777
260,261,-1.5133,-0.5453
261,262,-1.8034,-0.4669
262,263,-1.7975,-0.0204
263,264,-1.8299,0.7743
264,265,-1.8292,0.1663
265,266,-2.2924,-0.1544
266,267,-1.8766,0.5342
267,268,-2.0329,-0.1416
268,269,-1.282,-0.0103
269,270,-1.6641,-0.2812
270,271,-1.3772,-0.6088
271,272,-1.7237,-0.2883
272,273,-1.6411,-0.1375
273,274,-1.5942,-0.4767
274,275,-1.8615,-0.8587
275,276,-1.7957,0.0632
276,277,-1.9302,-0.5157
277,278,-1.433,-0.3803
278,279,-1.9599,-0.2993
279,280,-1.6532,-0.6546
280,281,-1.1669,-0.1874
281,282,-1.3344,-0.6633
282,283,-1.8125,-0.4885
283,284,-1.6589,-0.4269
284,285,-1.5135,0.4099
285,286,-1.6553,-0.2082
286,287,-1.8647,-0.3158
287,288,-1.6668,0.139
288,289,-1.7712,0.0749
289,290,-1.2702,-0.0458
290,291,-1.4383,-0.1952
291,292,-1.731,-0.2902
292,293,-1.3577,0.1374
293,294,-1.4093,0.3662
294,295,-1.5985,-0.2368
295,296,-1.06,-0.5109
296,297,-1.3541,-0.7191
297,298,-1.4521,-0.7505
298,299,-1.2244,-0.093
299,300,-1.6365,-0.684
300,301,-1.7496,-0.889
301,302,-1.309,-0.2561
302,303,-1.5582,-0.3029
303,304,-1.062,0.1903
304,305,-1.4835,-0.468
305,306,-1.884,-0.0292
306,307,-1.7068,0.0493
307,308,-2.0403,-0.1888
308,309,-1.2147,-0.0376
309,310,-2.0886,-0.1013
310,311,-1.3666,-0.4358
311,312,-1.4432,-0.5671
312,313,-1.349,-0.8231
313,314,-1.3958,-0.293
314,315,-1.5584,-0.7656
315,316,-1.4127,-0.6782
316,317,-1.4934,-0.3459
317,318,-1.5911,0.3961
318,319,-1.6957,0.0212
319,320,-1.5377,-0.8846
320,321,-1.44,-0.7111
321,322,-1.705,-0.4493
322,323,-1.7085,0.0538
323,324,-1.8025,-0.2669
324,325,-1.6317,0.0001
325,326,-1.6182,-0.6069
326,327,-1.6186,-0.1691
327,328,-1.6264,-0.419
328,329,-2.0773,-0.5446
329,330,-1.5325,0.234
330,331,-1.3539,-0.2439
331,332,-1.3123,-0.599
332,333,-1.1926,-0.8047
333,334,-1.1254,0.0978
334,335,-1.9264,-0.1059
335,336,-1.5926,-0.4188
336,337,-1.8984,0.3515
337,338,-2.0411,-0.1782
338,339,-1.7012,0.1528
339,340,-1.8573,-0.0187
340,341,-1.7866,0.3969
341,342,-1.6741,-0.664
342,343,-1.4336,-0.2079
343,344,-1.9619,-0.4216
344,345,-1.7079,-0.4139
345,346,-1.8577,-0.6908
346,347,-1.949,-0.9875
347,348,-1.7791,-0.0726
348,349,-1.665,-0.3089
349,350,-1.5504,0.1314
350,351,-1.7411,-0.3033
351,352,-1.3894,0.1255
352,353,-2.0007,0.2381
353,354,-1.9782,-0.6118
354,355,-1.7175,0.169
355,356,-1.8656,-0.0031
356,357,-1.4289,0.3897
357,358,-2.1372,-0.1566
358,359,-1.4972,-0.0728
359,360,-1.6383,-0.2177
360,361,-1.6621,-0.0386
361,362,-1.5329,-0.3347
362,363,-1.5908,-0.1837
363,364,-1.5986,-0.1775
364,365,-1.7115,-0.7702
365,366,-1.9171,-0.4576
366,367,-2.1963,-0.3407
367,368,-1.3944,-0.1895
368,369,-1.9877,0.2754
369,370,-1.5793,0.3573
370,371,-1.3746,-0.333
371,372,-1.5264,0.1455
372,373,-1.5925,-0.2762
373,374,-1.8599,-0.1441
374,375,-1.9523,-0.3317
375,376,-1.7844,-0.6636
376,377,-1.6794,0.105
377,378,-1.7012,-0.4135
378,379,-1.5672,-0.1078
379,380,-1.6889,0.5202
380,381,-1.4704,-0.4968
381,382,-1.1558,-0.2428
382,383,-1.4672,-0.1432
383,384,-1.4764,-0.1348
384,385,-1.1108,0.1716
385,386,-1.6764,0.1765
386,387,-1.6219,-0.5283
387,388,-0.9669,0.2827
388,389,-1.9618,-0.5274
389,390,-1.437,0.3781
390,391,-1.6812,0.1824
391,392,-1.4738,0.0705
392,393,-1.822,-0.221
393,394,-1.6054,0.4678
394,395,-1.6985,-0.584
395,396,-2.0467,-0.1878
396,397,-1.2707,-0.2506
397,398,-1.4799,0.1201
398,399,-1.4875,-0.5925
399,400,-1.7026,0.1397
400,401,-1.8288,-0.0663
401,402,-1.4489,-0.193
402,403,-1.5908,-0.5482
403,404,-1.4824,-0.1852
404,405,-1.6355,-0.5606
405,406,-1.7428,-0.6126
406,407,-0.9338,-0.2515
407,408,-1.3568,-0.4724
408,409,-1.4952,0.3708
409,410,-1.1231,-0.1153
410,411,-1.936,0.4245
411,412,-1.6309,0.1265
412,413,-1.6832,-0.1628
413,414,-1.2409,-0.4474
414,415,-1.1737,-0.3798
415,416,-1.3987,-0.3879
416,417,-1.5394,-0.1654
417,418,-1.8344,0.2679
418,419,-1.6167,0.2514
419,420,-1.4658,0.4426
420,421,-1.7573,0.4034
421,422,-1.0611,-0.5764
422,423,-1.2811,0.1775
423,424,-1.2407,-0.509
424,425,-0.9102,-0.3415
425,426,-1.8376,0.4542
426,427,-1.5533,0.016
427,428,-1.8942,-0.1127
428,429,-1.78,-0.372
429,430,-1.1093,-0.0231
430,431,-1.3449,0.1661
431,432,-1.4872,-0.0666
432,433,-1.6259,-0.4711
433,434,-1.3606,-0.5292
434,435,-1.2595,-0.6933
435,436,-1.4329,-0.5164
436,437,-1.5888,0.097
437,438,-1.5626,-0.0978
438,439,-1.8903,-0.1008
439,440,-2.1107,0.4415
440,441,-1.0417,-0.2643
441,442,-1.2967,-0.4777
442,443,-1.8286,0.2245
443,444,-1.9113,-0.0264
444,445,-2.2309,-0.8831
445,446,-1.4902,-0.2985
446,447,-1.5143,0.0244
447,448,-1.3666,-0.0429
448,449,-2.0555,0.2071
449,450,-1.821,-0.2978
450,451,-1.4672,-0.3799
451,452,-1.3663,0.1939
452,453,-1.7535,-0.1574
453,454,-1.4178,0.1756
454,455,-1.5229,0.5062
455,456,-1.2003,0.9527
456,457,-2.0357,-0.1192
457,458,-1.7035,-0.1468
458,459,-1.4328,-0.3181
459,460,-1.9884,-0.0662
460,461,-1.7772,0.1027
461,462,-1.8101,-0.5031
462,463,-1.6023,0.1938
463,464,-1.9932,0.2652
464,465,-1.4249,-0.6058
465,466,-1.8765,0.017
466,467,-2.017,0.5389
467,468,-1.5851,-0.4132
468,469,-1.5195,-0.0631
469,470,-2.0222,-0.0506
470,471,-2.4983,0.4688
471,472,-1.4308,0.1803
472,473,-2.0042,0.1923
473,474,-2.6318,0.8235
474,475,-2.0482,-0.0183
475,476,-1.5422,0.389
476,477,-1.2698,0.8214
477,478,-1.7579,-0.5622
478,479,-1.8418,-0.1893
479,480,-1.9531,-0.2632
480,481,-1.9282,0.4198
481,482,-2.0529,0.1707
482,483,-1.6191,-0.0789
483,484,-2.0257,-0.5658
484,485,-1.8738,-0.0857
485,486,-1.5746,0.1397
486,487,-2.1738,-0.8205
487,488,-1.8568,-0.4492
488,489,-1.9631,-0.9191
489,490,-1.1546,0.1724
490,491,-1.4882,0.4978
491,492,-1.7938,-0.5661
492,493,-2.1486,-0.3891
493,494,-1.6067,-0.7733
494,495,-1.6844,-0.0123
495,496,-1.3763,-0.5692
496,497,-1.8826,-0.5342
497,498,-1.5979,0.3625
498,499,-1.7702,0.2042
499,500,-1.1914,-1.0222
500,501,-1.6668,-0.1401
501,502,-1.7826,-0.8165
502,503,-1.9393,-0.0103
503,504,-2.0879,0.2292
504,505,-1.5389,0.3773
505,506,-2.2018,-0.6872
506,507,-1.923,-0.0547
507,508,-1.8046,-0.4035
508,509,-1.6197,0.2566
509,510,-1.529,-0.0748
