Epoch,Generator Loss,Discriminator Loss
237,-0.5786,-0.234
238,-0.7721,-0.5764
239,-1.1594,-0.2263
240,-0.6044,-0.27
241,-0.6066,-1.1147
242,-0.6306,0.4828
243,-1.0988,-0.0517
244,-0.5501,0.871
245,-1.1423,-1.2655
246,-1.1594,0.0005
247,-0.6768,0.5098
248,-1.0321,-0.4129
249,-0.7633,-0.6318
250,-0.5739,-1.2842
251,-0.8651,-0.083
252,-0.5374,-0.3409
253,-0.8447,-0.7944
254,-0.6189,-0.7058
255,-1.0691,-0.3997
256,-1.0153,0.6022
257,-0.6535,0.6828
258,-0.7894,-0.351
259,-0.6148,-0.3202
260,-0.793,0.4659
261,-0.382,0.2653
262,-1.0602,-0.2091
263,-0.3621,0.1984
264,-1.7339,0.0621
265,-0.4207,-0.7624
266,-0.3756,0.5465
267,-0.734,0.547
268,-0.7928,0.1992
269,-1.1565,0.3433
270,-1.4273,-0.2009
271,-0.6989,0.4038
272,-1.1125,0.3319
273,-0.9713,0.0119
274,-0.8116,-0.0913
275,0.0711,-0.8474
276,-0.3087,0.6694
277,-0.8135,-0.4328
278,-1.0033,-0.3795
279,-0.714,-0.1716
280,-0.1424,0.4478
281,0.1834,-0.0971
282,-0.1845,-1.0055
283,-0.1765,-0.6164
284,0.0784,-0.9782
285,-0.465,-0.4916
286,0.0595,-0.5178
287,-0.8017,0.8098
288,-0.1982,-0.1494
289,-0.4278,0.6666
290,-0.2421,-0.9848
291,0.0406,-0.8455
292,-1.1659,0.2358
293,-0.4403,0.0086
294,-0.9997,-1.3743
295,-0.8754,0.0016
296,-1.5492,0.1192
297,-1.0527,0.2885
298,-1.0759,-0.4037
299,-0.3078,-0.4784
300,-1.6651,-0.3041
301,-0.2894,0.0136
302,-0.807,-0.8261
303,-0.5525,-0.4044
304,-1.4315,0.6961
305,-0.576,-0.2451
306,-0.78,-0.4884
307,-0.9266,0.6241
308,-0.2382,-0.039
309,-0.735,-0.4677
310,-1.1265,0.7405
311,-0.5973,-0.2535
312,-1.6055,-0.0131
313,-0.3495,-0.47
314,-0.5499,1.3638
